Week,Session,Exercise,Sets,RepsMin,RepsMax,Category
1,A,"Hack Squat",3,8,12,"quads"
1,A,"Lat Pulldown",3,8,12,"lats"
1,A,"Leg Extension",2,10,15,"quads"
1,A,"Chest Supported Row",3,8,12,"upper back"
1,A,"EZ-Bar Curl",3,10,15,"biceps"
1,A,"Wrist Curl",3,15,20,"forearms"
1,A,"Wrist Extension",3,15,20,"forearms"
1,A,"Neck Extension",3,15,20,"neck"
1,A,"Reverse Cable Fly",4,8,12,"rear delts"
1,B,"Incline Machine Press",3,8,12,"chest"
1,B,"Overhead Tricep Extension",2,10,15,"triceps"
1,B,"Cable Fly",3,10,15,"chest"
1,B,"Machine Lateral Raise",3,10,15,"side delts"
1,B,"Back Extensions",2,10,15,"lower back"
1,B,"Seated Leg Curl",3,8,12,"hamstrings"
1,B,"Standing Leg Curl",2,8,12,"hamstrings"
1,B,"Neck Curl",3,15,20,"neck"
1,B,"Wrist Curl",3,15,20,"forearms"
1,B,"Wrist Extension",3,15,20,"forearms"
1,C,"Bulgarian Split Squats (Smith Machine)",3,8,12,"quads"
1,C,"Wide-Grip Pulldown",3,8,12,"lats"
1,C,"Machine Shoulder Press",3,8,12,"front delts"
1,C,"Lat Prayer",2,10,15,"lats"
1,C,"Hammer Curl",3,10,15,"biceps"
1,C,"Wrist Curl",3,15,20,"forearms"
1,C,"Wrist Extension",3,15,20,"forearms"
1,C,"Neck Extension",3,15,20,"neck"
1,C,"Dumbbell Shrug",4,12,15,"traps"
1,D,"Cable Row",3,8,12,"upper back"
1,D,"Slight Incline Dumbbell Press",3,8,12,"chest"
1,D,"Overhead Tricep Extension",2,8,12,"triceps"
1,D,"Lateral Raise Machine",2,8,12,"side delts"
1,D,"Wrist Curl",3,15,20,"forearms"
1,D,"Wrist Extension",3,15,20,"forearms"
1,D,"Neck Curl",3,15,20,"neck"
1,D,"Reverse Machine Fly",4,8,12,"rear delts"
1,E,"Leg Press",3,6,8,"quads"
1,E,"Close Grip Lat Pulldown",3,10,15,"lats"
1,E,"Seated Dumbbell Press",2,10,15,"front delts"
1,E,"Dumbbell Curl",3,8,12,"biceps"
1,E,"Wrist Curl",3,15,20,"forearms"
1,E,"Wrist Extension",3,15,20,"forearms"
1,E,"Seated Leg Curl",3,8,12,"hamstrings"
1,E,"Standing Leg Curl",3,8,12,"hamstrings"
1,E,"Neck Extension",3,15,20,"neck"
1,F,"Back Extensions",2,10,15,"lower back"
1,F,"Chest Supported Row",3,8,12,"upper back"
1,F,"Overhead Tricep Extension",2,10,15,"triceps"
1,F,"Dumbbell Lateral Raise",2,10,15,"side delts"
1,F,"Machine Fly",3,8,12,"chest"
1,F,"Neck Curl",3,15,20,"neck"
1,F,"Wrist Curl",3,15,20,"forearms"
1,F,"Wrist Extension",3,15,20,"forearms"
1,F,"Dumbbell Shrug",4,12,15,"traps"
